vertex1,x,y
214,429942.4298096588,4583221.019261191
215,430170.9823797847,4583273.308723296
216,430313.63033896446,4583133.061357158
217,429742.4120558407,4580848.741599468
218,429643.8613111426,4580737.949248553
219,429650.11342122994,4580941.402158408
220,429836.7077369959,4580943.124087471
221,429930.5715496511,4580848.6299544005
222,429934.00240865437,4581036.557229934
223,430197.5831706542,4581067.899742071
224,430478.5264751218,4580821.98585309
225,430587.886111706,4580717.400318152
226,430669.17845374654,4580701.67569271
227,430801.27806927974,4582441.02924985
228,430986.2867390741,4582438.464956457
229,431086.7825188042,4582533.670096723
230,430993.0024576643,4582629.10370711
231,431180.55467142386,4582626.364599951
232,431287.49182544375,4582511.378685446
233,431372.85259378527,4582813.011126569
234,431278.563086715,4582724.316148283
235,431277.08636191045,4582909.703438195
236,431467.2997134534,4582904.470413209
237,431557.13041036105,4582811.112095138
238,431565.41001725954,4582998.971769943
239,431469.6868481993,4583097.559743292
240,431645.10620727343,4583089.639764967
241,431736.47284452233,4582983.712130155
242,431857.0147509031,4583287.583217236
243,431755.3566780326,4583185.289507604
244,431950.2678209466,4583190.100574883
245,431562.9214572801,4583191.274461106
246,431673.0377763824,4583270.441771848
247,431323.1334752981,4583248.057119369
248,431371.8205678439,4583001.458546375
249,431099.2125906209,4582946.584916823
250,431087.6775144048,4582722.665546132
251,431179.016507369,4582812.9516271865
252,430894.4327380595,4582729.65275442
253,430896.3628461701,4582537.582527575
254,430683.3348435752,4582537.059348071
255,430699.0747342465,4582343.107453551
256,430273.31473455956,4582531.861507613
257,430184.03028976975,4582632.640765883
258,430364.90575749136,4582433.264716561
259,430994.1573490645,4583199.63020171
260,430881.80192952784,4583314.267334329
261,431070.2112938883,4583312.09415053
262,431225.60242418974,4583154.006531099
263,431167.98566753825,4583407.315063317
264,431263.47113466536,4583501.226635496
265,431359.8251931219,4583402.152295152
266,431360.7035473347,4583594.490004801
267,431411.47142868984,4583642.883793609
268,431464.09197672526,4583694.9545515925
269,429963.6061828256,4584884.426035926
270,430062.3705186435,4584754.521633427
271,430180.8641575854,4584809.360028287
272,430136.954235518,4584650.627504755
273,430013.83299446106,4584588.580002985
274,430116.0573546249,4584482.19240181
275,430245.5682734069,4584580.098046786
276,430283.3771272797,4584501.7746574525
277,430387.63551980717,4584395.582386732
278,430368.9705438708,4584278.522664579
279,430566.87074671563,4584439.438642574
280,430515.7638222774,4584265.180297275
281,430395.6815142207,4584147.837976836
282,430610.1383464623,4584168.401614923
283,430717.604196975,4584274.093541371
284,430700.86739761906,4584074.767933778
285,430842.4484923243,4583928.896448612
286,430652.90449948976,4583930.976333675
287,430925.9785068967,4584060.653556931
288,430981.81615410675,4583785.792421585
289,431076.1558005169,4583690.646707424
290,431119.76758681017,4583549.02830562
291,431460.92904508556,4583297.6644721655
292,431934.76052556623,4582811.217636101
293,431839.07073403813,4582716.899532052
294,432028.8718371538,4582721.174572309
295,432010.69198049814,4582543.026258524
296,432116.0993017121,4582624.198609317
297,432207.95967376593,4582532.05094637
298,432205.62454390316,4582709.5736101335
299,432296.7991699193,4582617.411274345
300,432312.8454785996,4582425.20479924
301,432405.1603545522,4582328.359037537
302,432495.25700289116,4582415.830680911
303,432569.7814482711,4582162.209194857
304,431921.9838155341,4581885.7780882
305,432673.32523653266,4582035.820388096
306,428965.7853615827,4581064.024531599
307,428969.6227237554,4581254.601590406
308,429541.3696977912,4581626.907060893
309,429446.75292475364,4581534.285820418
310,429463.5431350732,4581708.537734148
311,429748.43868245266,4581607.1374895
312,430494.17158225086,4582561.31561982
313,430599.2113449554,4582453.609919159
314,430686.1593482015,4582749.290748518
315,430590.67120066483,4582656.907639473
316,430774.92107071815,4582625.791502775
317,430879.3203940568,4582938.603054153
318,430984.7790262242,4582830.103814577
319,430782.96604293835,4582844.737986985
320,431090.9373926282,4583100.453909127
321,431581.5072373145,4583754.718437352
322,431556.30238990387,4583595.769670176
323,429986.36743179936,4583912.913731633
324,430312.06325491954,4583878.020074353
325,430218.7140132267,4583973.784991752
326,430459.0620244804,4583771.541990947
327,430602.5478892614,4583604.036378618
328,430518.0179133866,4583521.775085498
329,430697.2433993709,4583506.556589268
330,430531.4765549895,4583382.121121316
331,430835.27134411,4583455.819839093
332,431464.362932994,4582717.792684397
333,431371.8335858807,4582628.680147531
334,431548.1799681399,4582632.363155363
335,431641.86129808065,4582706.022964857
336,431456.49525735027,4582534.079983531
337,431645.6329788462,4582530.6846309705
338,431581.1126247323,4582473.348008426
339,431734.01801216364,4582440.2179859765
340,431829.22387536714,4582534.117415174
341,431825.82969162567,4582346.694712226
342,431764.7175407068,4582286.365490943
343,430976.0196881327,4583032.521604486
344,430489.1971782931,4584052.587089901
345,430695.12101931544,4583694.471091865
346,430811.3425631052,4583575.485949571
347,430976.7873274704,4583406.936471412
348,430100.21969458665,4583712.808641895
349,430316.93753847387,4583511.527288874
350,430411.8923118061,4583603.10692522
351,430315.3668020625,4583323.9589323485
352,430409.04515091656,4583226.768334544
353,430599.1833082326,4583225.015993761
354,430693.2435873701,4583316.602287597
355,430692.73096376675,4583129.368183273
356,430786.16435149586,4583033.750508876
357,430595.93807305227,4583035.54863966
358,430029.9073660588,4583416.4893626515
359,430221.37620754977,4583417.98395095
360,430217.5776574374,4583039.356199488
361,430408.46034446725,4583035.387872872
362,430502.2374606477,4583130.066648875
363,430499.64973694435,4582941.414585011
364,430593.7391635494,4582844.455814158
365,430404.1774113449,4582848.067805889
366,428592.3522603811,4581257.720724277
367,428689.2312324013,4581348.432455181
368,428779.832654213,4581255.864715463
369,428783.4087504927,4581444.456975821
370,429160.12582900684,4581813.006089258
371,429307.56979752524,4581866.627629227
372,429073.97170853656,4581914.591196446
373,429354.581109685,4582007.434643375
374,429435.9801187367,4581924.746415099
375,429834.82698634884,4582474.285567799
376,429990.5719793069,4582626.851231989
377,429928.721684605,4582381.644624916
378,430094.3802855542,4582729.799868531
379,430786.2553892446,4583221.310540808
380,430980.70830142667,4583598.168377404
381,430908.9809085824,4583671.77613013
382,431201.15425980656,4583776.447976161
383,431294.3150030532,4583868.17806566
384,431366.16544520576,4583975.810717646
385,431459.71163725125,4584065.479624652
386,431228.5462350719,4584026.131794883
387,431544.94634568057,4584147.178706294
388,431566.8548569868,4583954.689269957
389,431415.06224102026,4584205.500229468
390,431649.8689038042,4584248.789050215
391,431732.47065784346,4584164.732686213
392,431795.8770010813,4584316.3500474645
393,431793.14947185933,4584433.977109073
394,431969.49948809703,4584560.644663336
395,432070.300640419,4584662.228724473
396,432043.620902064,4584823.814639535
397,432178.20268910186,4584767.075981395
398,432271.9145160104,4584739.041004253
399,432317.4810824074,4584900.427862626
400,432507.5803830085,4585092.06459975
401,432599.57153865095,4585186.997277275
402,432594.00926398416,4585003.9019650025
403,432703.6188167517,4585468.973331913
404,432797.2268636963,4585374.043987023
405,432882.7037182067,4585286.963951757
406,432989.65960302565,4585560.877522838
407,433085.1573196715,4585653.59090068
408,433168.6148482417,4585565.862230191
409,433200.29266129015,4585766.27589424
410,433062.0518911441,4585876.867548595
411,433272.45579218183,4585652.316709576
412,433279.94853900664,4585843.616210284
413,433349.00010036,4585769.706693518
414,428928.6361543237,4581679.916825579
415,429046.0941994329,4581748.176106282
416,429167.6320959115,4582011.158519894
417,429803.12089613243,4582632.997815929
