80,78,89,53,51,48,50,70,621,595,625,73,71,54,52
80,78,89,53,51,48,50,69,621,595,625,73,71,54,52
80,78,89,75,74,53,51,70,621,595,625,73,71,54,52
80,78,90,101,88,48,51,70,621,595,625,73,71,54,52
80,78,90,101,88,53,51,70,621,595,625,73,71,54,52
80,78,90,101,88,48,50,70,621,595,625,73,71,54,52
80,78,89,53,88,48,51,70,621,595,625,73,71,54,52
80,78,90,101,88,48,50,69,621,595,625,73,71,54,52
80,78,89,53,88,48,50,70,621,595,625,73,71,54,52
80,78,89,53,88,48,50,69,621,595,625,73,71,54,52
80,78,89,53,51,70,50,69,621,595,625,73,71,54,52
80,92,90,101,88,48,51,70,621,595,625,73,71,54,52
80,92,90,101,88,53,51,70,621,595,625,73,71,54,52
80,92,90,101,88,48,50,70,621,595,625,73,71,54,52
80,92,90,101,88,48,50,69,621,595,625,73,71,54,52
80,78,89,101,88,48,50,69,99,100,595,71,54,52
80,91,84,94,741,83,81,79,77,75,74,52
80,78,89,53,51,48,50,69,99,100,595,71,54,52
80,79,125,124,126,391,58,57,72,71,54,52
80,78,90,101,88,48,50,69,99,100,595,71,54,52
80,78,89,53,88,48,50,69,99,100,595,71,54,52
80,78,89,53,51,70,50,69,99,100,595,71,54,52
80,79,77,78,90,101,89,75,74,53,51,52
80,78,89,53,51,70,621,69,99,100,595,71,54,52
80,79,125,124,76,391,58,57,72,71,54,52
80,79,77,78,89,101,88,48,51,53,74,52
80,79,77,78,90,101,89,53,88,48,51,52
80,79,125,127,126,391,58,57,72,71,54,52
80,79,77,75,74,56,58,57,72,71,54,52
80,79,125,124,76,56,58,57,72,71,54,52
80,78,77,75,74,56,58,57,72,71,54,52
80,91,84,83,634,299,82,125,124,76,56,74,52
