10,2,379,45,193
10,8,3,11,45,193
10,2,12,189,45,193
10,8,1,69,117,193
10,16,31,80,117,193
10,8,1,164,45,193
10,120,35,166,45,193
10,16,30,132,45,193
10,334,335,343,45,193
10,16,354,85,45,193
10,16,30,146,45,193
10,356,28,11,45,193
10,334,12,189,45,193
10,89,21,1,164,45,193
10,2,0,1,69,117,193
10,89,21,118,11,45,193
10,2,14,3,11,45,193
10,2,29,280,179,45,193
10,2,0,99,80,117,193
10,2,0,1,164,45,193
10,89,21,219,109,45,193
10,2,233,423,132,45,193
10,2,0,3,11,45,193
10,356,28,46,80,117,193
10,334,12,139,11,45,193
10,2,0,5,11,45,193
10,356,28,145,187,117,193
10,334,12,5,19,45,193
10,334,12,208,166,45,193
10,2,0,17,179,45,193
10,2,0,5,19,45,193
10,356,28,244,85,45,193
10,334,12,241,11,45,193
10,2,0,24,19,45,193
10,2,0,17,319,45,193
10,16,31,72,192,45,193
10,356,28,440,11,45,193
10,2,0,24,212,45,193
10,2,0,24,251,45,193
10,8,1,69,255,11,45,193
10,16,15,349,52,85,45,193
10,8,1,5,12,189,45,193
10,334,496,362,5,11,45,193
10,8,93,1,69,19,45,193
10,16,15,390,19,11,45,193
10,8,1,5,13,168,45,193
10,334,496,362,5,19,45,193
10,8,1,161,5,11,45,193
10,16,15,390,19,69,117,193
10,8,1,5,161,355,45,193
10,2,379,45,19,69,117,193
10,8,1,161,5,19,45,193
10,16,15,5,1,69,117,193
10,8,1,5,268,179,45,193
10,16,15,5,19,11,45,193
10,2,12,139,359,69,117,193
10,2,12,139,11,19,45,193
10,16,15,5,12,189,45,193
10,16,15,5,1,164,45,193
10,16,15,5,19,69,117,193
10,2,12,5,19,11,45,193
10,8,1,78,20,19,45,193
10,16,15,5,13,168,45,193
10,8,191,1,69,19,45,193
10,2,12,5,1,69,117,193
10,8,1,5,19,11,45,193
10,2,12,5,11,19,45,193
10,2,12,5,19,69,117,193
10,8,1,78,20,470,45,193
10,16,15,5,161,355,45,193
10,8,1,3,13,168,45,193
10,16,30,194,437,109,45,193
10,8,83,220,1,69,117,193
10,16,30,54,19,11,45,193
10,2,12,5,13,168,45,193
10,2,12,5,1,164,45,193
10,16,30,20,284,19,45,193
10,8,1,5,19,69,117,193
10,8,83,5,19,11,45,193
10,16,30,20,19,11,45,193
10,8,1,0,2,379,45,193
10,8,1,475,11,19,45,193
10,16,15,5,268,179,45,193
10,8,93,1,3,11,45,193
10,8,1,3,25,19,45,193
10,16,30,286,5,11,45,193
10,8,3,13,5,11,45,193
10,16,183,28,46,80,117,193
10,8,83,220,1,164,45,193
10,334,12,5,11,19,45,193
10,8,1,3,11,19,45,193
10,8,3,0,2,379,45,193
10,16,30,54,19,69,117,193
10,2,12,5,161,355,45,193
10,16,183,28,11,19,45,193
10,16,30,20,72,192,45,193
10,356,28,11,19,69,117,193
10,16,494,31,13,168,45,193
10,8,83,5,19,69,117,193
10,356,28,11,255,69,117,193
10,16,30,20,19,69,117,193
10,8,3,25,19,11,45,193
10,8,1,7,20,470,45,193
10,16,15,28,46,80,117,193
10,8,100,1,69,19,45,193
10,8,3,1,5,11,45,193
10,8,1,0,99,80,117,193
10,8,93,1,5,11,45,193
10,8,317,1,3,11,45,193
10,8,83,5,1,69,117,193
10,91,22,7,20,470,45,193
10,8,1,3,25,396,45,193
10,8,1,69,19,11,45,193
10,8,83,5,11,19,45,193
10,16,30,128,31,80,117,193
10,16,15,28,11,19,45,193
10,16,30,286,5,19,45,193
10,2,12,115,20,19,45,193
10,89,21,1,69,19,45,193
10,8,3,13,31,80,117,193
10,8,3,13,5,19,45,193
10,16,183,28,145,187,117,193
10,89,21,20,30,132,45,193
10,89,21,20,19,11,45,193
10,2,12,241,11,19,45,193
10,91,155,41,28,11,45,193
10,91,306,13,3,11,45,193
10,8,3,6,37,360,45,193
10,8,26,389,145,187,117,193
10,8,3,0,1,69,117,193
10,91,22,1,3,11,45,193
10,8,100,260,330,11,45,193
10,91,22,1,69,19,45,193
10,89,21,52,46,80,117,193
10,2,12,5,268,179,45,193
10,16,30,20,78,92,45,193
10,16,494,31,72,192,45,193
10,356,28,11,5,19,45,193
10,8,100,1,3,11,45,193
10,2,0,1,69,19,45,193
10,8,3,25,19,69,117,193
10,89,21,118,11,19,45,193
10,8,1,108,97,80,117,193
10,8,1,7,37,360,45,193
10,2,14,371,5,11,45,193
10,8,1,7,114,69,117,193
10,2,14,371,5,19,45,193
10,8,1,7,238,109,45,193
10,8,1,7,20,19,45,193
10,16,15,28,145,187,117,193
10,8,317,1,69,19,45,193
10,16,15,28,244,85,45,193
10,8,3,11,5,19,45,193
10,16,15,28,440,11,45,193
10,8,3,11,311,168,45,193
10,2,14,3,1,69,117,193
10,8,3,11,255,69,117,193
10,2,14,3,13,168,45,193
10,2,14,3,1,164,45,193
10,8,3,11,361,109,45,193
10,2,14,3,25,396,45,193
10,2,14,3,11,19,45,193
10,2,14,3,25,19,45,193
10,120,338,25,19,11,45,193
10,8,3,11,19,69,117,193
10,120,338,25,19,69,117,193
10,8,3,1,475,11,45,193
10,8,3,1,5,19,45,193
10,8,3,1,35,166,45,193
10,8,1,0,3,11,45,193
10,8,3,1,78,92,45,193
10,8,1,0,5,11,45,193
10,8,3,1,97,80,117,193
10,8,1,0,17,179,45,193
10,8,1,0,5,19,45,193
10,8,3,1,161,355,45,193
10,8,1,0,24,19,45,193
10,8,1,0,17,319,45,193
10,8,3,1,169,109,45,193
10,8,1,0,24,212,45,193
10,8,3,1,472,402,45,193
10,8,1,0,24,251,45,193
10,89,21,1,3,11,45,193
10,120,35,33,46,80,117,193
10,89,21,1,5,11,45,193
10,120,35,331,244,85,45,193
10,89,21,1,35,166,45,193
10,89,21,1,5,19,45,193
10,120,35,156,30,132,45,193
10,89,21,1,78,92,45,193
10,120,35,237,335,343,45,193
10,120,35,156,30,146,45,193
10,89,21,1,97,80,117,193
10,120,35,110,46,80,117,193
10,89,21,1,161,355,45,193
10,120,35,288,96,109,45,193
10,89,21,1,169,109,45,193
10,2,0,1,3,11,45,193
10,89,21,1,472,402,45,193
10,2,0,1,5,11,45,193
10,89,21,1,475,11,45,193
10,2,0,1,35,166,45,193
10,2,0,1,5,19,45,193
10,2,0,1,78,92,45,193
10,8,93,1,35,166,45,193
10,2,0,1,97,80,117,193
10,8,93,1,78,92,45,193
10,2,0,1,161,355,45,193
10,8,93,1,97,80,117,193
10,2,0,1,169,109,45,193
10,8,93,1,161,355,45,193
10,2,0,1,472,402,45,193
10,8,93,1,169,109,45,193
10,2,0,1,475,11,45,193
10,8,93,1,472,402,45,193
10,8,93,1,5,19,45,193
10,8,93,1,475,11,45,193
10,8,317,1,5,11,45,193
10,8,83,5,12,189,45,193
10,8,317,1,35,166,45,193
10,8,317,1,5,19,45,193
10,8,83,5,13,168,45,193
10,8,317,1,78,92,45,193
10,8,83,5,161,355,45,193
10,8,317,1,97,80,117,193
10,8,83,5,268,179,45,193
10,8,317,1,161,355,45,193
10,120,149,62,2,379,45,193
10,8,317,1,169,109,45,193
10,8,83,5,1,164,45,193
10,8,317,1,472,402,45,193
10,91,22,112,37,360,45,193
10,8,317,1,475,11,45,193
10,91,22,137,467,360,45,193
10,91,22,7,1,69,117,193
10,91,22,327,3,11,45,193
10,91,22,7,37,360,45,193
10,91,22,7,1,164,45,193
10,91,22,7,114,69,117,193
10,16,15,1,69,19,45,193
10,91,22,7,238,109,45,193
10,91,22,7,20,19,45,193
10,2,62,7,1,69,117,193
10,8,133,3,11,19,45,193
10,2,322,194,30,132,45,193
10,2,62,103,17,179,45,193
10,2,62,7,20,470,45,193
10,2,62,7,1,164,45,193
10,8,191,1,3,11,45,193
10,2,233,234,20,19,45,193
10,2,322,194,437,109,45,193
10,2,322,194,30,146,45,193
10,2,62,103,17,319,45,193
10,2,62,7,37,360,45,193
10,2,62,7,20,19,45,193
10,8,191,1,5,11,45,193
10,2,233,234,20,470,45,193
10,2,62,7,114,69,117,193
10,16,30,430,38,53,45,193
10,8,191,1,35,166,45,193
10,8,191,1,5,19,45,193
10,2,62,7,238,109,45,193
10,16,30,156,35,166,45,193
10,8,191,1,78,92,45,193
10,120,338,25,3,11,45,193
10,120,35,1,3,11,45,193
10,2,0,3,1,69,117,193
10,8,191,1,97,80,117,193
10,8,133,3,1,69,117,193
10,120,35,1,5,11,45,193
10,2,0,3,13,168,45,193
10,2,0,3,1,164,45,193
10,8,191,1,161,355,45,193
10,8,133,3,13,168,45,193
10,8,133,3,1,164,45,193
10,334,335,237,35,166,45,193
10,120,35,1,169,109,45,193
10,120,35,1,5,19,45,193
10,2,0,3,25,396,45,193
10,8,191,1,169,109,45,193
10,8,133,3,25,396,45,193
10,120,35,1,78,92,45,193
10,2,0,3,11,19,45,193
10,2,0,3,25,19,45,193
10,8,191,1,472,402,45,193
10,8,133,3,25,19,45,193
10,120,35,1,97,80,117,193
10,120,35,1,69,19,45,193
10,2,12,185,72,192,45,193
10,2,12,115,20,470,45,193
10,8,191,1,475,11,45,193
10,16,47,410,30,132,45,193
10,120,35,1,161,355,45,193
10,356,28,46,49,11,45,193
10,2,12,334,335,343,45,193
10,16,47,312,78,92,45,193
10,16,47,410,30,146,45,193
10,120,35,1,472,402,45,193
10,356,28,46,52,85,45,193
10,2,12,58,24,19,45,193
10,16,47,123,13,168,45,193
10,120,35,1,475,11,45,193
10,16,47,3,11,19,45,193
10,2,0,5,11,19,45,193
10,16,47,3,1,69,117,193
10,16,183,28,244,85,45,193
10,2,12,73,24,19,45,193
10,2,12,58,24,212,45,193
10,89,21,20,72,192,45,193
10,16,47,154,12,189,45,193
10,89,21,20,30,146,45,193
10,356,28,145,32,11,45,193
10,89,21,20,19,69,117,193
10,16,47,3,13,168,45,193
10,16,47,3,1,164,45,193
10,16,183,28,440,11,45,193
10,2,12,39,28,11,45,193
10,2,12,73,24,212,45,193
10,2,12,58,24,251,45,193
10,89,21,20,78,92,45,193
10,8,1,5,11,19,45,193
10,334,12,5,1,69,117,193
10,334,12,5,19,11,45,193
10,91,306,13,5,11,45,193
10,16,15,5,11,19,45,193
10,16,15,1,3,11,45,193
10,8,3,75,31,80,117,193
10,16,47,3,25,396,45,193
10,8,3,6,17,319,45,193
10,2,12,90,28,11,45,193
10,334,12,139,11,19,45,193
10,334,12,139,359,69,117,193
10,8,87,418,244,85,45,193
10,8,26,29,280,179,45,193
10,2,12,73,24,251,45,193
10,16,104,23,13,168,45,193
10,89,21,20,284,19,45,193
10,8,3,0,99,80,117,193
10,2,0,5,1,69,117,193
10,8,3,0,1,164,45,193
10,334,12,5,13,168,45,193
10,334,12,5,1,164,45,193
10,91,22,1,5,11,45,193
10,334,12,5,19,69,117,193
10,91,306,13,31,80,117,193
10,2,0,5,19,11,45,193
10,8,3,1,69,19,45,193
10,8,100,124,30,132,45,193
10,8,100,260,271,80,117,193
10,91,306,13,5,19,45,193
10,16,15,1,5,11,45,193
10,8,3,9,38,53,45,193
10,16,15,1,35,166,45,193
10,16,15,1,5,19,45,193
10,8,3,14,2,379,45,193
10,8,3,9,1,69,117,193
10,16,15,1,78,92,45,193
10,8,3,287,1,69,117,193
10,8,3,14,96,109,45,193
10,8,3,9,32,11,45,193
10,8,3,9,1,164,45,193
10,16,15,1,97,80,117,193
10,8,3,392,1,69,117,193
10,8,3,287,324,11,45,193
10,8,3,287,1,164,45,193
10,8,3,9,282,132,45,193
10,16,15,1,161,355,45,193
10,8,3,498,28,11,45,193
10,8,3,392,1,164,45,193
10,16,15,1,169,109,45,193
10,8,3,281,38,53,45,193
10,16,15,1,472,402,45,193
10,8,3,59,28,11,45,193
10,16,15,1,475,11,45,193
10,8,3,98,28,11,45,193
10,16,47,3,25,19,45,193
10,8,3,4,42,151,45,193
10,8,3,6,42,151,45,193
10,8,3,4,257,11,45,193
10,8,3,6,17,179,45,193
10,2,12,245,24,19,45,193
10,334,12,39,28,11,45,193
10,2,12,245,24,212,45,193
10,334,12,185,72,192,45,193
10,2,12,245,24,251,45,193
10,334,12,58,24,19,45,193
10,334,12,241,11,19,45,193
10,334,12,90,28,11,45,193
10,334,12,58,24,212,45,193
10,334,12,73,24,19,45,193
10,334,12,58,24,251,45,193
10,334,12,115,20,19,45,193
10,334,12,73,24,212,45,193
10,334,12,245,24,19,45,193
10,334,12,115,20,470,45,193
10,334,12,73,24,251,45,193
10,334,12,245,24,212,45,193
10,8,148,0,99,80,117,193
10,334,12,245,24,251,45,193
10,8,213,103,17,179,45,193
10,8,148,0,1,69,117,193
10,8,484,200,37,360,45,193
10,8,213,103,17,319,45,193
10,8,148,0,2,379,45,193
10,8,148,0,1,164,45,193
10,8,228,77,35,166,45,193
10,8,148,0,3,11,45,193
10,8,243,128,31,80,117,193
10,8,148,0,5,11,45,193
10,8,391,340,35,166,45,193
10,8,243,128,30,132,45,193
10,8,148,0,17,179,45,193
10,8,148,0,5,19,45,193
10,8,243,128,30,146,45,193
10,8,148,0,24,19,45,193
10,8,148,0,17,319,45,193
10,8,148,0,24,212,45,193
10,8,87,63,46,80,117,193
10,8,148,0,24,251,45,193
10,8,87,63,17,179,45,193
10,2,0,7,114,69,117,193
10,8,87,63,275,69,117,193
10,8,87,63,17,319,45,193
10,2,0,23,232,69,117,193
10,2,0,7,1,69,117,193
10,2,0,4,257,11,45,193
10,2,0,23,13,168,45,193
10,2,0,7,20,470,45,193
10,2,0,7,1,164,45,193
10,2,0,34,38,53,45,193
10,2,0,4,3,11,45,193
10,2,0,23,40,11,45,193
10,2,0,7,37,360,45,193
10,2,0,7,20,19,45,193
10,2,0,6,3,11,45,193
10,2,0,34,17,179,45,193
10,2,0,4,42,151,45,193
10,2,0,7,238,109,45,193
10,2,0,260,271,80,117,193
10,2,0,6,17,179,45,193
10,2,0,34,17,319,45,193
10,2,0,260,330,11,45,193
10,2,0,6,37,360,45,193
10,2,0,6,17,319,45,193
10,2,0,6,42,151,45,193
10,8,26,21,1,164,45,193
10,8,26,29,2,379,45,193
10,8,26,70,37,360,45,193
10,8,26,21,20,470,45,193
10,8,26,21,1,69,117,193
10,8,26,320,13,168,45,193
10,8,26,21,52,85,45,193
10,8,26,21,20,19,45,193
10,8,26,21,118,11,45,193
10,16,104,332,11,19,45,193
10,8,26,21,219,109,45,193
10,16,31,13,3,11,45,193
10,2,0,24,19,11,45,193
10,16,31,13,5,11,45,193
10,2,0,24,19,69,117,193
10,16,31,13,5,19,45,193
10,356,28,11,311,168,45,193
10,16,104,131,384,192,45,193
10,356,28,11,361,109,45,193
10,16,104,23,40,11,45,193
10,8,3,0,5,11,45,193
10,16,104,23,232,69,117,193
10,8,3,0,17,179,45,193
10,8,3,0,5,19,45,193
10,8,3,0,24,19,45,193
10,8,3,0,17,319,45,193
10,8,3,0,24,212,45,193
10,2,0,17,76,19,45,193
10,8,3,0,24,251,45,193
10,2,0,17,167,92,45,193
10,8,100,1,5,11,45,193
10,2,0,17,313,19,45,193
10,8,100,1,35,166,45,193
10,8,100,1,5,19,45,193
10,8,100,1,78,92,45,193
10,2,0,5,12,189,45,193
10,8,100,1,97,80,117,193
10,2,0,5,13,168,45,193
10,8,100,1,161,355,45,193
10,2,0,5,161,355,45,193
10,8,100,1,169,109,45,193
10,2,0,5,268,179,45,193
10,8,100,1,472,402,45,193
10,2,0,5,1,164,45,193
10,8,100,1,475,11,45,193
10,16,31,57,462,402,45,193
10,334,12,5,161,355,45,193
10,16,31,74,20,19,45,193
10,16,31,57,1,69,117,193
10,334,12,5,268,179,45,193
10,16,31,75,3,11,45,193
10,16,31,74,20,470,45,193
10,16,31,57,1,164,45,193
10,16,31,128,30,132,45,193
10,16,31,72,20,470,45,193
10,16,31,128,30,146,45,193
10,16,31,72,20,19,45,193
10,91,22,1,35,166,45,193
10,91,22,1,5,19,45,193
10,91,22,1,78,92,45,193
10,356,28,15,5,11,45,193
10,91,22,1,97,80,117,193
10,356,28,39,12,189,45,193
10,356,28,15,1,69,117,193
10,356,28,15,5,19,45,193
10,91,22,1,161,355,45,193
10,356,28,498,3,11,45,193
10,356,28,15,390,19,45,193
10,356,28,15,1,164,45,193
10,91,22,1,169,109,45,193
10,356,28,481,52,85,45,193
10,91,22,1,472,402,45,193
10,356,28,59,3,11,45,193
10,91,22,1,475,11,45,193
10,356,28,67,13,168,45,193
10,8,1,57,31,80,117,193
10,356,28,215,172,132,45,193
10,8,1,15,390,19,45,193
10,8,1,57,462,402,45,193
10,356,28,98,3,11,45,193
10,8,1,100,426,132,45,193
10,8,1,15,5,11,45,193
10,356,28,101,17,179,45,193
10,8,1,9,38,53,45,193
10,8,1,15,28,11,45,193
10,8,1,15,5,19,45,193
10,356,28,404,72,192,45,193
10,356,28,101,17,319,45,193
10,8,1,127,5,19,45,193
10,8,1,9,3,11,45,193
10,356,28,407,283,85,45,193
10,8,1,21,20,470,45,193
10,8,1,127,5,11,45,193
10,8,1,9,32,11,45,193
10,356,28,90,12,189,45,193
10,8,1,487,37,360,45,193
10,8,1,21,52,85,45,193
10,8,1,21,20,19,45,193
10,8,1,9,282,132,45,193
10,8,1,471,399,85,45,193
10,8,1,21,118,11,45,193
10,8,1,469,241,11,45,193
10,8,1,21,219,109,45,193
10,8,1,157,5,11,45,193
10,2,0,5,19,69,117,193
10,356,28,440,11,19,45,193
10,8,1,188,5,11,45,193
10,8,1,157,5,19,45,193
10,8,100,301,308,19,45,193
10,8,1,227,161,355,45,193
10,8,1,188,5,19,45,193
10,8,100,124,30,146,45,193
10,8,1,287,3,11,45,193
10,8,1,293,167,92,45,193
10,8,1,287,324,11,45,193
10,8,1,382,32,11,45,193
10,8,1,392,3,11,45,193
10,8,1,116,198,53,45,193
10,16,15,1,161,5,11,45,193
10,8,3,498,28,11,19,45,193
10,8,1,7,0,24,19,45,193
10,8,228,77,9,3,11,45,193
10,8,228,77,35,1,69,117,193
10,16,15,1,5,19,11,45,193
10,8,1,0,5,12,189,45,193
10,8,148,0,3,1,69,117,193
10,16,15,5,1,69,19,45,193
10,8,148,0,3,11,19,45,193
10,8,3,59,367,32,11,45,193
10,16,15,61,105,46,80,117,193
10,8,1,0,5,19,11,45,193
10,8,243,408,21,1,164,45,193
10,8,243,128,31,13,168,45,193
10,8,3,9,1,69,19,45,193
10,8,1,0,3,13,168,45,193
10,8,3,1,161,5,11,45,193
10,8,1,0,7,114,69,117,193
10,8,148,0,5,11,19,45,193
10,8,267,140,21,20,19,45,193
10,16,15,1,475,11,19,45,193
10,8,3,59,28,46,80,117,193
10,16,15,1,5,11,19,45,193
10,8,1,0,24,19,11,45,193
10,8,391,397,16,354,85,45,193
10,8,391,340,103,17,179,45,193
10,8,391,340,35,1,69,117,193
10,2,14,371,5,1,69,117,193
10,2,12,139,359,69,19,45,193
10,16,31,13,168,311,11,45,193
10,8,1,0,17,76,19,45,193
10,8,1,161,5,19,11,45,193
10,8,3,9,32,11,19,45,193
10,2,12,139,11,255,69,117,193
10,8,148,0,5,1,69,117,193
10,8,148,0,5,19,11,45,193
10,8,243,128,30,20,470,45,193
10,8,317,1,69,19,11,45,193
10,8,3,1,227,161,355,45,193
10,8,148,0,4,3,11,45,193
10,8,148,0,24,19,11,45,193
10,8,148,0,17,76,19,45,193
10,16,47,3,25,19,11,45,193
10,8,3,98,28,46,80,117,193
10,334,496,362,299,37,360,45,193
10,8,1,169,109,361,11,45,193
10,8,87,63,46,28,11,45,193
10,16,15,1,0,2,379,45,193
10,8,3,392,1,97,80,117,193
10,2,12,139,11,19,69,117,193
10,8,3,59,28,11,19,45,193
10,8,3,98,28,11,19,45,193
10,89,21,1,3,13,168,45,193
10,334,12,189,45,19,69,117,193
10,89,21,1,3,11,19,45,193
10,16,15,5,12,2,379,45,193
10,16,15,5,1,3,11,45,193
10,2,0,7,114,69,19,45,193
10,8,87,63,163,395,80,117,193
10,120,35,33,170,46,80,117,193
10,8,87,63,275,69,19,45,193
10,8,87,63,17,76,19,45,193
10,8,148,0,1,69,19,45,193
10,2,0,7,1,69,19,45,193
10,8,3,4,257,11,19,45,193
10,8,3,6,0,99,80,117,193
10,89,21,1,5,11,19,45,193
10,2,0,4,257,11,19,45,193
10,16,15,5,19,20,470,45,193
10,2,0,23,13,3,11,45,193
10,8,3,11,5,1,69,117,193
10,120,35,331,244,28,11,45,193
10,8,3,4,0,2,379,45,193
10,2,0,7,1,3,11,45,193
10,120,35,33,46,28,11,45,193
10,8,213,435,116,1,164,45,193
10,334,335,343,45,19,69,117,193
10,8,1,78,20,19,11,45,193
10,2,0,4,3,1,69,117,193
10,2,0,4,3,11,19,45,193
10,2,0,23,33,46,80,117,193
10,16,15,28,39,12,189,45,193
10,8,3,11,5,19,69,117,193
10,2,0,23,40,11,19,45,193
10,89,21,1,5,19,11,45,193
10,2,0,7,37,259,11,45,193
10,2,0,23,232,69,19,45,193
10,2,0,7,20,30,132,45,193
10,89,21,1,5,12,189,45,193
10,2,0,7,20,19,11,45,193
10,120,35,156,375,20,19,45,193
10,2,12,458,173,114,69,117,193
10,8,93,1,69,255,11,45,193
10,8,93,1,69,19,11,45,193
10,16,15,5,13,3,11,45,193
10,2,0,6,3,1,69,117,193
10,2,0,6,3,11,19,45,193
10,2,0,34,152,1,69,117,193
10,334,496,362,5,11,19,45,193
10,8,191,1,69,255,11,45,193
10,89,21,1,78,20,19,45,193
10,2,0,4,159,37,360,45,193
10,16,15,28,145,32,11,45,193
10,16,15,28,440,11,19,45,193
10,2,0,7,33,35,166,45,193
10,8,191,1,69,19,11,45,193
10,2,0,160,51,294,19,45,193
10,8,3,47,410,30,132,45,193
10,120,35,237,488,30,132,45,193
10,8,213,103,62,2,379,45,193
10,2,12,245,24,19,11,45,193
10,2,14,371,5,11,19,45,193
10,2,12,5,1,69,19,45,193
10,2,0,34,17,76,19,45,193
10,2,0,260,100,426,132,45,193
10,120,35,156,30,20,470,45,193
10,2,0,260,330,11,19,45,193
10,2,0,6,37,259,11,45,193
10,2,0,6,17,76,19,45,193
10,2,0,6,229,30,132,45,193
10,8,3,6,17,76,19,45,193
10,8,1,0,3,11,19,45,193
10,120,35,110,248,28,11,45,193
10,16,15,1,78,20,19,45,193
10,8,1,7,114,69,19,45,193
10,8,317,1,69,255,11,45,193
10,120,35,110,46,28,11,45,193
10,8,26,29,2,12,189,45,193
10,8,26,70,95,20,470,45,193
10,8,26,70,37,259,11,45,193
10,8,1,7,20,30,132,45,193
10,8,1,78,20,30,132,45,193
10,2,0,1,3,13,168,45,193
10,16,31,13,3,1,69,117,193
10,2,0,1,3,11,19,45,193
10,16,31,13,3,11,19,45,193
10,120,35,415,70,37,360,45,193
10,8,1,35,237,335,343,45,193
10,16,31,13,23,232,69,117,193
10,16,15,5,161,1,69,117,193
10,16,31,13,5,11,19,45,193
10,16,30,132,45,19,69,117,193
10,2,0,24,19,5,11,45,193
10,2,0,1,5,11,19,45,193
10,16,31,13,5,1,69,117,193
10,16,31,13,5,19,11,45,193
10,334,12,241,11,19,69,117,193
10,8,3,287,1,69,19,45,193
10,8,3,11,255,69,19,45,193
10,8,1,3,13,5,11,45,193
10,89,21,1,475,11,19,45,193
10,16,104,300,105,46,80,117,193
10,16,104,131,33,46,80,117,193
10,356,28,11,45,19,69,117,193
10,356,28,11,49,46,80,117,193
10,89,21,1,0,2,379,45,193
10,334,12,185,72,20,470,45,193
10,8,100,260,0,2,379,45,193
10,16,104,23,40,11,19,45,193
10,120,35,166,208,12,189,45,193
10,2,0,1,5,12,189,45,193
10,8,3,13,168,311,11,45,193
10,8,3,0,5,11,19,45,193
10,16,104,23,0,2,379,45,193
10,2,0,1,5,19,11,45,193
10,16,104,23,232,69,19,45,193
10,334,12,58,24,19,11,45,193
10,8,3,14,371,5,11,45,193
10,8,1,5,13,3,11,45,193
10,16,30,194,322,2,379,45,193
10,8,3,0,5,1,69,117,193
10,334,12,58,254,25,19,45,193
10,8,3,0,5,19,11,45,193
10,8,3,0,7,114,69,117,193
10,2,0,1,78,20,19,45,193
10,8,3,0,24,19,11,45,193
10,8,3,287,324,11,19,45,193
10,8,1,7,20,19,11,45,193
10,8,83,220,425,12,189,45,193
10,8,3,0,17,76,19,45,193
10,2,14,3,1,69,19,45,193
10,2,12,5,19,20,470,45,193
10,2,0,17,76,19,11,45,193
10,8,1,69,255,11,19,45,193
10,2,12,5,19,25,396,45,193
10,2,0,17,76,19,69,117,193
10,8,3,14,2,12,189,45,193
10,2,12,5,19,24,212,45,193
10,334,12,241,11,255,69,117,193
10,2,12,5,11,255,69,117,193
10,2,12,5,19,24,251,45,193
10,334,12,241,11,5,19,45,193
10,2,12,5,11,311,168,45,193
10,2,14,3,1,97,80,117,193
10,334,12,241,11,311,168,45,193
10,2,12,5,11,361,109,45,193
10,2,14,3,1,5,11,45,193
10,334,12,241,11,361,109,45,193
10,8,3,11,45,19,69,117,193
10,2,14,3,1,35,166,45,193
10,2,14,3,1,5,19,45,193
10,334,496,362,5,19,11,45,193
10,2,14,3,1,78,92,45,193
10,8,100,1,5,11,19,45,193
10,334,496,362,5,19,69,117,193
10,2,14,3,1,161,355,45,193
10,2,0,17,101,28,11,45,193
10,8,93,1,78,20,19,45,193
10,2,14,3,1,169,109,45,193
10,2,0,17,63,46,80,117,193
10,8,93,1,78,20,470,45,193
10,2,14,3,1,472,402,45,193
10,2,0,17,6,3,11,45,193
10,2,0,17,63,275,69,117,193
10,2,14,3,1,475,11,45,193
10,2,0,17,34,38,53,45,193
10,2,0,17,6,37,360,45,193
10,2,0,17,313,19,11,45,193
10,334,12,90,28,46,80,117,193
10,2,0,17,6,42,151,45,193
10,2,0,17,313,19,69,117,193
10,334,12,90,28,145,187,117,193
10,2,0,1,161,5,11,45,193
10,8,100,1,5,12,189,45,193
