182,125,26,21,84,419,23,150,351
182,125,26,21,1,44,23,150,351
182,125,26,21,140,33,23,150,351
182,125,26,8,1,57,465,150,351
182,125,26,8,3,0,23,150,351
182,125,26,8,10,16,104,150,351
182,125,26,8,1,0,23,150,351
182,125,26,8,3,11,28,215,351
182,125,26,8,148,0,23,150,351
182,125,26,8,10,356,28,215,351
182,125,26,8,1,15,28,215,351
182,125,26,8,3,13,23,150,351
182,125,26,8,1,44,23,150,351
182,125,26,8,3,59,28,215,351
182,26,8,93,1,0,23,150,351
182,125,26,8,3,98,28,215,351
182,26,8,100,1,57,465,150,351
182,26,8,93,1,15,28,215,351
182,26,8,83,5,51,172,215,351
182,26,8,100,260,0,23,150,351
182,26,8,100,1,0,23,150,351
182,26,8,93,1,44,23,150,351
182,26,8,133,3,98,28,215,351
182,26,8,83,5,0,23,150,351
182,26,8,100,414,337,23,150,351
182,26,8,100,1,15,28,215,351
182,26,8,93,1,57,465,150,351
182,26,8,267,140,33,23,150,351
182,26,8,133,3,0,23,150,351
182,26,8,83,5,11,28,215,351
182,26,8,100,426,132,172,215,351
182,26,8,100,1,44,23,150,351
182,26,8,317,1,0,23,150,351
182,26,8,133,3,11,28,215,351
182,26,8,83,5,13,23,150,351
182,26,8,352,239,0,23,150,351
182,26,8,317,1,15,28,215,351
182,26,8,133,3,13,23,150,351
182,26,8,83,5,15,28,215,351
182,26,8,317,1,44,23,150,351
182,26,8,133,3,59,28,215,351
182,26,8,317,1,57,465,150,351
182,26,8,133,3,498,28,215,351
182,26,21,1,475,11,40,23,150,351
182,125,26,21,438,0,23,104,150,351
182,125,26,21,1,15,16,104,150,351
182,26,8,191,1,44,23,104,150,351
182,125,26,344,157,5,11,28,215,351
182,125,26,225,6,0,175,23,150,351
182,125,26,225,6,3,498,28,215,351
182,125,26,225,6,0,23,104,150,351
182,125,26,21,118,11,40,23,150,351
182,125,26,21,84,419,23,104,150,351
182,125,26,21,1,3,498,28,215,351
182,125,26,21,1,44,23,104,150,351
182,125,26,21,20,30,16,104,150,351
182,125,26,21,140,33,46,28,215,351
182,125,26,8,3,0,175,23,150,351
182,125,26,21,140,33,23,104,150,351
182,125,26,8,3,0,23,104,150,351
182,125,26,29,2,0,175,23,150,351
182,216,38,121,211,6,0,23,150,351
182,125,26,8,10,16,15,28,215,351
182,125,26,8,10,16,104,23,150,351
182,26,8,191,1,15,16,104,150,351
182,125,26,8,1,0,23,104,150,351
182,125,26,8,1,0,175,23,150,351
182,125,26,8,3,11,40,23,150,351
182,125,26,21,438,0,175,23,150,351
182,125,26,8,191,1,57,465,150,351
182,125,26,8,148,0,175,23,150,351
182,125,26,8,10,2,0,23,150,351
182,125,26,8,148,0,23,104,150,351
182,125,26,29,2,10,16,104,150,351
182,125,26,8,1,15,16,104,150,351
182,125,26,8,3,13,67,28,215,351
182,125,26,8,3,13,23,104,150,351
182,125,26,8,1,3,498,28,215,351
182,125,26,8,1,44,23,104,150,351
182,26,320,13,5,0,23,104,150,351
182,26,8,87,63,46,33,23,150,351
182,26,21,1,8,3,498,28,215,351
182,26,21,1,5,0,23,104,150,351
182,26,8,93,1,0,175,23,150,351
182,26,8,93,1,0,23,104,150,351
182,125,26,8,3,1,57,465,150,351
182,26,21,1,5,0,175,23,150,351
182,125,26,21,52,46,33,23,150,351
182,125,26,55,321,186,131,104,150,351
182,125,26,55,47,16,15,28,215,351
182,26,8,93,1,15,16,104,150,351
182,125,26,29,2,0,23,104,150,351
182,125,26,21,1,0,175,23,150,351
